NEC,Name,HIP,RA2000,DE2000,Vmag,Gmag,type,HR,HD,Bayer/other,constellation,distance from Sun/ ly,B-V color,VmagMax,VmagMin
7681,,HIP 99137,301.8962109,-55.01601367,6.25,6.125575,F9VCH-0.4,7674,190422,,Telescopium,75.67310731,0.53,,
7682,,HIP 99145,301.9226702,34.42290676,6.141,6.086299,B5II,7699,191243,,Cygnus,2012.346568,0.117,,
7683,,HIP 99171,302.0075931,-0.6781846237,5.968,5.689416,K1IV,7690,191067,64 Aql,Aquila,156.0556057,1.023,,
7684,,HIP 99176,302.0270924,16.6643874,6.4,5.370863,M3III,7696,191178,V344 Sge,Sagitta,4233.763534,1.72,,
7685,,HIP 99188,302.0397897,-52.57779576,6.46,6.306532,G3V,,190580,,Telescopium,188.4394821,0.682,,
7686,,HIP 99200,302.0853061,-66.35469286,6.46,5.822166,K5III,7663,190222,,Pavo,1143.859439,1.587,,
7687,,HIP 99221,302.1302974,-10.06259531,6.174,6.14755,B9IV,7694,191110,,Capricornus,524.1169117,0.031,6.24,6.26
7688,,HIP 99234,302.1594947,10.72586742,6.339,6.314895,B3V,7700,191263,,Aquila,1841.809388,-0.136,,
7689,,HIP 99240,302.1817036,-66.18206744,3.56,3.364138,G8IV,7665,190248,δ Pavonis,Pavo,19.91085246,0.751,,
7690,,HIP 99255,302.2222864,77.71142099,4.4,4.382442,B9III,7750,192907,κ Cephei,Cepheus,326.9813749,-0.046,,
7691,,HIP 99270,302.2660424,-47.06792845,6.457,5.933683,K5III,,190879,,Telescopium,532.6809366,1.463,,
7692,,HIP 99294,302.3431603,56.02682734,6.49,6.246931,K0,,191892,,Cygnus,1239.543726,0.938,,
7693,,HIP 99303,302.3567461,36.83962054,4.93,4.911437,B2.5Ve,7708,191610,28 Cyg,Cygnus,860.1578302,-0.139,4.91,4.97
7694,,HIP 99404,302.6397383,26.90416796,5.507,5.500163,A3III,7711,191747,18 Vul,Vulpecula,419.5621511,0.087,,
7695,,HIP 99445,302.7647575,21.13457898,6.24,6.000731,K0III,7713,191814,,Sagitta,514.1967258,0.894,,
7696,,HIP 99457,302.7919905,-8.842344712,6.49,6.427824,B1IVe,7709,191639,BE Cap,Capricornus,108666.5974,-0.135,6.16,6.43
7697,,HIP 99461,302.7997449,-36.10120881,5.32,5.033037,K2.5V,7703,191408,,Sagittarius,19.72887819,0.868,,
7698,Antinous,HIP 99473,302.8261945,-0.8214635937,3.22,3.249787,B9.5III,7710,191692,θ Aquilae,Aquila,286.9720369,-0.066,,
7699,,HIP 99479,302.8375701,21.87493637,6.269,6.218011,B1Ib,7716,191877,,Vulpecula,29636.37734,-0.048,,
7700,,HIP 99500,302.8952992,62.07854771,5.7,5.578086,F5V,7727,192455,68 Dra,Draco,158.7147844,0.53,,
7701,,HIP 99518,302.9498915,26.80899109,5.487,5.051252,K2IIIaCa0.5,7718,192004,19 Vul,Vulpecula,1613.863584,1.397,,
7702,,HIP 99529,302.9912419,-12.39240204,6.34,5.979092,K0III,7712,191753,ξ 1 Capricorni,Capricornus,482.9626567,1.209,,
7703,,HIP 99531,303.002923,26.4788066,5.92,5.882952,B7Ve,7719,192044,20 Vul,Vulpecula,1139.859412,-0.107,,
7704,,HIP 99570,303.0993338,-42.7800599,6.191,5.859788,K1III,7706,191584,280 G. Sgr,Sagittarius,343.8812279,1.228,,
7705,,HIP 99572,303.107794,-12.61749753,5.85,5.721998,F7VFe-0.5,7715,191862,ξ 2 Capricorni,Capricornus,91.44466481,0.476,,
7706,,HIP 99579,303.1321566,51.46356499,6.043,5.739221,K2.5III,7726,192439,,Cygnus,412.1358668,1.139,,
7707,,HIP 99631,303.3078535,-1.009363387,5.47,4.859192,K4III,7720,192107,66 Aql,Aquila,888.2851227,1.43,,
7708,,HIP 99639,303.3252244,46.81567526,4.819,4.779923,A5IIIn,7730,192514,30 Cyg,Cygnus,716.4830573,0.1,,
7709,,HIP 99653,303.3485904,38.72901945,6.5,6.337873,C-N5.5,,192443,,Cygnus,1801.105011,2.86,6.5,9.5
7710,,HIP 99655,303.3494419,56.56772314,4.271,4.235856,A3IV-Vn,7740,192696,33 Cyg,Cygnus,152.2651983,0.114,,
7711,,HIP 99663,303.3650679,60.64056952,5.78,5.262661,K5III,7742,192781,,Cepheus,593.8059521,1.476,,
7712,,HIP 99666,303.3848699,-47.71322105,6.47,6.07279,K2III,,191732,,Telescopium,449.0358262,1.249,,
7713,,HIP 99675,303.407951,46.74132267,3.8,3.282255,K3Ib+B2IV-V,7735,192577,ο1 Cyg,Cygnus,1352.698368,1.27,3.73,3.89
7714,,HIP 99685,303.4283891,43.37901139,6.14,5.587504,K4III,7733,192535,,Cygnus,737.5557051,1.489,,
7715,,HIP 99719,303.520339,36.60488278,6.464,6.456969,A0V,7734,192538,,Cygnus,1009.289844,-0.014,,
7716,,HIP 99738,303.5605397,28.69481717,5.189,5.13824,A7IVn,7731,192518,21 Vul,Vulpecula,326.9813772,0.191,5.36,5.41
7717,,HIP 99742,303.5692445,15.19760734,4.946,4.923669,A1Va,7724,192425,ρ Aquilae,Delphinus,153.4841153,0.072,,
7718,,HIP 99747,303.5792719,-52.44576537,5.632,5.071909,K4III,7714,191829,,Telescopium,915.7310754,1.497,,
7719,,HIP 99762,303.6121096,-63.4157891,6.086,6.021994,F0IV,7707,191603,,Pavo,234.870375,0.308,,
7720,,HIP 99770,303.6334681,36.80630581,4.99,4.889878,A2V,7736,192640,29 Cyg,Cygnus,133.7712126,0.151,4.94,4.97
7721,,HIP 99824,303.8162336,25.59196191,4.75,4.766654,B3V,7739,192685,,Vulpecula,1198.529653,-0.181,4.6,4.8
7722,,HIP 99825,303.8224641,-27.03297545,5.723,5.48135,K2+V,7722,192310,,Capricornus,28.76700527,0.878,,
7723,,HIP 99841,303.8490363,33.72908588,5.698,5.462596,G8III,7743,192787,,Cygnus,300.1841671,0.926,,
7724,,HIP 99848,303.8680176,47.71422609,3.98,3.317127,K7Ib-II+B1V,7751,192909,ο2 Cyg,Cygnus,1108.843759,1.451,3.9,4.14
7725,,HIP 99853,303.8759943,23.50890307,5.176,4.891197,G3Ib-II,7741,192713,22 Vul,Vulpecula,4346.657374,1.016,5.15,5.27
7726,,HIP 99870,303.9302227,50.23291052,6.36,6.380481,A2Vn,7755,192983,,Cygnus,354.7337659,0.096,,
7727,,HIP 99874,303.9422633,27.81419889,4.52,4.037718,K3-IIIFe-1,7744,192806,23 Vul,Vulpecula,327.9691575,1.258,,
7728,,HIP 99878,303.9608842,-30.00527459,6.275,5.743185,K4III,7725,192433,282 G. Sgr,Sagittarius,1147.888798,1.513,,
7729,,HIP 99889,304.0025647,45.57952502,5.864,5.765058,F5V:,7756,192985,,Cygnus,112.5303484,0.447,,
7730,,HIP 99893,304.0142762,38.89800654,6.275,6.280617,A1V,7752,192934,,Cygnus,409.5474264,0.006,,
7731,Chechia,HIP 99894,304.0250157,4.580794438,6.446,6.221424,G8IV,,192699,,Aquila,219.7968629,0.867,,
7732,,HIP 99913,304.0824507,21.59870233,6.11,5.841613,K1III,7746,192836,18 Sge,Sagitta,297.716999,1.039,,
7733,,HIP 99918,304.0950241,-12.3371194,6.299,6.283824,B9IV,7738,192666,3 Cap,Capricornus,526.6564522,0.005,,
7734,,HIP 99920,304.0983788,-36.45357419,6.4,4.881227,M4III,7728,192472,V4434 Sgr,Sagittarius,851.1765312,1.467,,
7735,,HIP 99929,304.1173106,37.05639635,6.448,6.425395,B6III,7757,192987,,Cygnus,1139.859411,-0.097,,
7736,,HIP 99951,304.1961928,24.67110133,5.302,5.059031,G8III,7753,192944,24 Vul,Vulpecula,471.7808498,0.951,,
7737,,HIP 99968,304.2303571,40.3650759,5.236,4.6323,K3IIIaFe-1,7759,193092,,Cygnus,999.9988402,1.65,,
7738,,HIP 99985,304.2518466,8.963224398,6.49,6.451085,F2,,192895,,Delphinus,218.206223,0.31,,
7739,,HIP 100016,304.3710689,42.72206194,6.273,5.689376,K4+II-III,7762,193217,,Cygnus,1884.39478,1.632,,
7740,,HIP 100018,304.3813743,29.14756227,6.22,5.988276,G9III,7760,193094,,Vulpecula,367.1185115,1.01,,
7741,,HIP 100027,304.4119547,-12.50821219,4.27,3.96283,G3Ib,7747,192876,α 1 Capricorni,Capricornus,686.31501,0.928,,
7742,,HIP 100044,304.4466749,38.03293031,4.82,4.566381,B1-2Ia-0ep,7763,193237,P Cyg,Cygnus,6269.24307,0.377,3,6
7743,,HIP 100062,304.5058204,-21.80995838,5.851,5.586791,G8III,7748,192879,4 Cap,Capricornus,341.3612456,1.002,,
7744,Algedi,HIP 100064,304.513565,-12.54485212,3.58,3.327416,G9III,7754,192947,α 2 Capricorni,Capricornus,108.6304127,0.883,,
7745,,,304.5291159,40.73208384,5.958,5.896626,O9IV(n),7767,193322A,,Cygnus,1552.37996,0.073,,
7746,,HIP 100069,304.5291175,40.73208337,5.84,,O9IV(n)+B1.5V,7767,193322,,Cygnus,1552.37996,0.073,,
7747,,HIP 100097,304.6031278,55.39709615,6,6.001819,A2IV,7781,193592,,Cygnus,290.8119884,0.118,,
7748,,HIP 100108,304.6193967,36.99980421,5.58,5.57188,A2V,7769,193369,36 Cyg,Cygnus,194.5109024,0.056,,
7749,,HIP 100122,304.6628,34.98277055,5.162,4.959805,F6Ib,7770,193370,35 Cyg,Cygnus,2000.000943,0.66,,
7750,,HIP 100142,304.7069498,46.32219298,6.443,6.426928,B2V,7777,193536,V1773 Cyg,Cygnus,2650.407038,-0.123,6.44,6.49
7751,,HIP 100151,304.7332465,-47.71077893,6.28,5.459622,M1III,7745,192827,,Telescopium,674.9473878,1.657,,
7752,,HIP 100155,304.7397383,39.00418466,6.36,5.529575,K4.5Ib,,193469,,Cygnus,2397.059306,1.871,,
7753,,HIP 100165,304.7624974,-63.23074217,6.279,6.014804,K0III,7732,192531,,Pavo,445.3552851,1.045,,
7754,,HIP 100184,304.824382,-47.58029035,6.13,6.015382,F5V,7749,192886,,Telescopium,96.13678599,0.469,,
7755,,HIP 100195,304.8483512,-19.11852538,5.265,4.824424,K2III,7761,193150,σ Capricorni,Capricornus,696.580754,1.394,,
7756,,HIP 100208,304.8720665,13.21676585,6.21,5.43967,M1III,7771,193373,,Delphinus,791.2609661,1.648,,
7757,,HIP 100219,304.9024776,47.89419352,5.9,,"C9,2e",,193680,,Cygnus,2936.938322,3.31,5.9,12.1
7758,,HIP 100221,304.90303,62.25744377,5.709,5.70002,B9V,7792,193964,DE Dra,Draco,378.1894737,-0.043,5.72,5.88
7759,,HIP 100232,304.9302698,-1.078512783,6.042,5.754313,K0III,7768,193329,131 G. Aql,Aquila,405.4724273,1.093,,
7760,,HIP 100250,304.9835103,46.83731794,6.478,6.447167,B8IIInpSi,7786,193722,V1584 Cyg,Cygnus,1220.97476,-0.084,6.48,6.52
7761,,HIP 100256,305.0007861,13.54808849,5.938,5.899871,A5m,7774,193472,,Delphinus,293.9585439,0.299,,
7762,,HIP 100261,305.0250487,68.88031783,5.55,4.187609,M4.5-M5III,7804,194258,AC Dra,Draco,680.583923,1.472,7.14,7.39
7763,,HIP 100268,305.0634076,39.40321385,6.33,,A0V,,193702AB,NAME HD 193702AB,Cygnus,,0.05,,
7764,,HIP 100274,305.0855142,14.56925573,6.17,5.93238,G8III,7778,193556,,Delphinus,549.7470385,0.926,,
7765,,HIP 100276,305.0891947,17.79292617,5.808,5.224592,K5III,7780,193579,,Sagitta,477.306552,1.5,,
7766,,HIP 100295,305.1276718,53.59568767,6.197,5.653773,K5,7791,193944,,Cygnus,1630.000588,1.547,,
7767,,HIP 100300,305.1346417,-55.05088436,6.259,5.538975,M0/1III,7758,193002,,Telescopium,810.9448572,1.617,,
7768,Alshat,HIP 100310,305.1658991,-12.75908063,4.76,4.75221,B9IV,7773,193432,ν Capricorni,Capricornus,272.1204497,-0.047,,
7769,,HIP 100325,305.1939496,-14.78488992,6.1,6.118342,B9/A0III/IV,7775,193452,β2 Cap,Capricornus,451.0281506,-0.016,,
7770,,HIP 100332,305.2162368,-35.67367528,6.463,6.047623,K3III,7765,193302,290 G. Sgr,Sagittarius,443.5362032,1.311,,
7771,Dabih,HIP 100345,305.2527775,-14.7814076,3.08,2.836874,G9II:+B8p:Si:,7776,193495,β Capricorni,Capricornus,555.3585054,0.79,,
7772,,HIP 100357,305.2980177,63.98011739,5.69,5.075905,K5III,7805,194298,,Draco,732.584202,1.561,,
7773,,HIP 100379,305.367732,-66.74968927,6.5,6.381235,F6V,,192887,,Pavo,143.4860217,0.505,,
7774,,HIP 100412,305.4209855,-49.99941669,6.28,6.129248,F9V,7766,193307,,Telescopium,105.7068454,0.549,,
7775,,HIP 100434,305.5127301,41.13213666,6.383,6.084352,G9Ib-II,7795,194069,,Cygnus,1552.37996,1.016,,
7776,,HIP 100435,305.5142934,24.44610139,5.56,5.503935,B6IVe,7789,193911,25 Vul,Vulpecula,1801.105011,-0.09,,
7777,,HIP 100437,305.5223652,45.79499935,5.572,5.290573,K1III,7798,194152,,Cygnus,414.7569076,1.077,,
7778,Sadr,HIP 100453,305.557091,40.25667916,2.23,2.113725,F8Ib,7796,194093,γ Cygni,Cygnus,1523.36595,0.673,,
7779,,HIP 100469,305.6145927,-42.049562,5.59,5.572196,A0V,7779,193571,κ 1 Sagittarii,Sagittarius,244.1949552,0.002,,
7780,,HIP 100486,305.6554458,31.26496492,6.072,5.640295,K2,7797,194097,,Cygnus,607.077418,1.363,,
7781,,HIP 100501,305.6887317,41.02601254,5.93,5.253952,K7III,7800,194193,,Cygnus,855.6427276,1.632,,
7782,,HIP 100511,305.7182051,14.55109758,6.152,6.03745,F7V,7793,194012,,Delphinus,85.18415599,0.498,,
7783,,HIP 100515,305.7313837,42.98354367,6.3,6.048274,G8III,7802,194220,,Cygnus,330.6293172,0.957,,
7784,,HIP 100524,305.7532909,-9.654710523,6.283,6.047626,G5IIIa,7788,193896,,Capricornus,435.2460185,0.913,,
7785,,HIP 100541,305.7945558,5.342981663,5.301,5.042223,G8III-IV,7794,194013,132 G. Aql,Aquila,246.409797,0.983,,
7786,,HIP 100574,305.934871,37.47644707,5.9,5.892078,B2IIIe,7807,194335,V2119 Cyg,Cygnus,893.1523013,-0.173,,
7787,,HIP 100587,305.9650575,32.19013379,4.44,3.97256,K2.5IIIFe-0.5,7806,194317,39 Cyg,Cygnus,255.2858004,1.331,,
7788,,HIP 100591,305.9715694,-42.42287155,5.64,5.589,A5V,7787,193807,κ 2 Sagittarii,Sagittarius,370.4534969,0.201,,
7789,,HIP 100591,305.9715879,-42.42284322,5.93,5.589,~,7787,193807A,* kap02 Sgr A,Sagittarius,370.4534969,0.201,,
7790,,HIP 100651,306.134858,53.55192783,6.479,6.474134,B9V,7815,194668,,Cygnus,1461.882327,-0.025,,
7791,,HIP 100664,306.1562424,1.068404843,6.136,6.137607,A0IIIe,7803,194244,,Aquila,840.2066244,-0.036,,
7792,,HIP 100672,306.1739882,1.368564559,6.42,5.701079,K4/5III,,194263,136 G. Aql,Aquila,864.7218332,1.605,,
7793,,HIP 100697,306.2288238,-83.31061948,6.142,6.116798,A2/3mA8-F0,7698,191220,,Octans,251.7376211,0.203,,
7794,,HIP 100714,306.2708691,59.60009889,6.441,6.429012,A2IVs,7818,194882,,Cygnus,947.67582,0.094,,
7795,,HIP 100738,306.3617811,-28.66326383,5.858,5.561073,G8II/III,7801,194215,296 G. Sgr,Sagittarius,540.6288177,1.101,,
7796,Peacock,HIP 100751,306.4119044,-56.73508973,1.918,,B2IV,7790,193924,α Pavonis,Pavo,183.1462176,-0.118,,
7797,,HIP 100754,306.4188708,21.40964412,5.672,5.438854,G6III,7811,194577,,Vulpecula,543.3346154,0.921,,
7798,,HIP 100758,306.4271857,-2.800374563,6.1,5.747388,M0III,7809,194454,137 G. Aql,Aquila,713.3469386,1.193,,
7799,,HIP 100762,306.43381,10.05600067,6.307,5.69488,K5:III+,7810,194526,,Delphinus,876.3437368,1.571,,
7800,,HIP 100764,306.4496952,-40.79618484,6.08,5.623908,K3III,7799,194184,295 G. Sgr,Sagittarius,352.4322102,1.364,,
7801,,HIP 100779,306.5048675,19.86549313,6.444,6.197215,K0III,7813,194616,,Delphinus,674.9473831,1.037,,
7802,,HIP 100781,306.5066574,13.91161255,6.35,5.784687,K5,,194578,,Delphinus,815.0002943,1.453,,
7803,,HIP 100807,306.5964783,17.31555944,6.222,5.971206,K0,7816,194688,,Delphinus,812.9693133,1.005,,
7804,,HIP 100808,306.5978075,56.63869462,6.369,6.373596,B9V,7827,195066,,Cygnus,546.9792948,0.018,,
7805,,,306.7206187,-37.40289913,6.46,6.202342,K2IV,7808,194433A,,Sagittarius,129.3138173,0.961,,
7806,,HIP 100859,306.7594479,49.38336233,5.715,5.645087,F0V:,7828,195068,43 Cyg,Cygnus,122.7409974,0.339,,
7807,,HIP 100866,306.7823918,34.32906966,6.398,6.250196,F1II,7823,194951,,Cygnus,2469.698653,0.48,,
7808,,HIP 100876,306.8091256,20.4764867,6.43,6.187741,K0,,194841,,Delphinus,1654.822238,1.03,,
7809,,HIP 100881,306.8300078,-18.21169401,5.14,5.126711,B3/5V,7814,194636,π Capricorni,Capricornus,665.3075621,-0.049,,
7810,,HIP 100907,306.892746,38.44035066,5.62,5.626205,A3V,7826,195050,40 Cyg,Cygnus,270.0910953,0.072,,
7811,,HIP 100953,307.031415,8.4374481,6.229,5.942562,G9III,7820,194937,,Delphinus,326.3261174,1.074,,
7812,,HIP 100965,307.0607659,81.42270827,5.368,5.120014,G9III,7901,196787,75 Dra,Draco,455.9437613,1.01,,
7813,,HIP 100969,307.0699266,2.937230696,6.195,5.961942,G8III/IV,7824,194953,,Delphinus,455.9437648,0.899,,
7814,,HIP 100977,307.1037687,-3.357791265,6.117,6.11085,B9V:,7821,194939,68 Aql,Aquila,557.2646019,-0.049,,
7815,,HIP 101011,307.1816244,-15.74149703,6.41,6.144268,G8III,7819,194918,,Capricornus,617.4246645,0.999,,
7816,,HIP 101017,307.194765,-35.595863,6.077,6.069913,B8II/III,7817,194783,,Microscopium,626.9243092,-0.094,,
7817,,HIP 101027,307.2150616,-17.81368308,4.93,,~,7822,194943,* rho Cap A,Capricornus,98.66817517,0.386,,
7818,,HIP 101044,307.2622479,83.62541793,6.19,6.177054,A4m,7930,197508,,Draco,276.9755644,0.163,,
7819,,HIP 101067,307.3349589,36.45472715,5.899,5.739101,A2Iab-Ib,7835,195324,42 Cyg,Cygnus,1689.120709,0.407,,
7820,,HIP 101076,307.3488981,30.36855529,4.01,3.909945,F5Ib-II,7834,195295,41 Cyg,Cygnus,758.1393525,0.404,,
7821,,HIP 101084,307.3629619,56.06819172,5.912,5.959072,B8.5V,7843,195554,,Cygnus,895.6038211,-0.052,,
7822,,HIP 101090,307.3805911,-22.3915653,6.126,5.480979,K5III,7825,195006,,Capricornus,530.9433536,1.543,,
7823,,HIP 101093,307.3954386,62.99411033,4.22,4.164901,A7III,7850,195725,θ Cephei,Cepheus,135.6072435,0.199,,
7824,,HIP 101101,307.4125002,-2.885528157,4.9,4.580437,K1/2III,7831,195135,69 Aql,Aquila,190.866549,1.16,,
7825,,HIP 101123,307.4746229,-18.58318352,5.897,5.918725,A1V,7830,195094,ο 1 Capricorni,Capricornus,238.8280135,0.062,,
7826,,HIP 101134,307.5029919,72.53170115,6.221,5.802819,K4III:,7868,196142,,Draco,682.0085433,1.353,,
7827,,HIP 101138,307.5147539,48.95156682,4.936,4.894649,B2.5IV,7844,195556,ω 1 Cygni,Cygnus,869.3347318,-0.087,4.86,4.89
7828,,HIP 101160,307.574836,10.89592314,6.08,,A1:III,7836,195325,1 Del,Delphinus,565.972064,-0.019,,
7829,,HIP 101160,307.5748413,10.89592698,6.2,,~,7836,195325A,* 1 Del A,Delphinus,565.972064,-0.019,,
7830,,HIP 101211,307.7366653,-29.11266149,6.343,6.308732,A5V,7832,195206,,Microscopium,593.8059567,0.227,,
7831,,HIP 101213,307.7423121,20.6061488,6.2,6.194557,kA1hA9mF2,7839,195479,,Delphinus,345.7068235,0.138,,
7832,,HIP 101214,307.7467878,36.93583988,6.216,5.879742,F5Ib,7847,195593,44 Cyg,Cygnus,1582.525191,0.969,,
7833,,HIP 101221,307.7679439,-15.05616538,6.11,5.903295,K1/2III+F,7837,195330,,Capricornus,318.0489759,0.797,,
7834,,HIP 101243,307.8284023,49.2202955,5.44,4.657627,M2III,7851,195774,ω 2 Cygni,Cygnus,403.9663031,1.566,,
7835,,HIP 101245,307.8381307,52.30952336,6.207,5.93526,K0III,7854,195820,,Cygnus,347.9203627,1.018,,
7836,,HIP 101260,307.8766946,74.95462607,5.185,5.164855,A9:VpCrSrEu,7879,196502,AF Dra,Draco,416.8791671,0.1,5.15,5.22
7837,,HIP 101268,307.9010989,34.33037237,6.467,6.375238,F2,,195690,,Cygnus,146.9794326,0.422,,
7838,,HIP 101285,307.9437891,56.77986268,6.141,5.590997,K5III,7860,195964,,Cygnus,821.158434,1.431,,
7839,,HIP 101300,307.9926218,25.80496962,6.362,,kA2hF1mF0,7849,195692,,Vulpecula,264.3958737,0.281,,
7840,,HIP 101339,308.085058,2.132804373,6.46,5.878668,K4III,,195617,142 G. Aql,Aquila,1131.94413,1.514,,
7841,,HIP 101345,308.0987279,-9.853384506,5.65,5.492333,G2.5IV,7845,195564,,Capricornus,79.01101878,0.689,,
7842,,HIP 101384,308.2181658,-24.94382608,6.339,6.346929,A0V,7842,195549,,Capricornus,350.1599881,0.001,,
7843,Aldulfin,HIP 101421,308.3032203,11.30326639,4.03,4.015604,B6IV,7852,195810,ϵ Delphini,Delphinus,358.6359886,-0.123,,
7844,,HIP 101427,308.3234859,-80.96488735,5.767,5.416933,G6/8II,7785,193721,,Octans,526.6564547,1.122,,
7845,,HIP 101474,308.4757837,35.25084418,4.636,3.877334,K6:Ib+B2.5:,7866,196093,47 Cyg A,Cygnus,928.7743338,1.593,,
7846,,HIP 101475,308.4785148,46.69385208,5.769,5.739681,B8pSi,7870,196178,V2015 Cyg,Cygnus,480.8273509,-0.14,5.62,5.64
7847,,HIP 101477,308.4794691,-44.51604562,5.118,4.849891,K0III,7846,195569,ν Microscopii,Microscopium,215.8942326,0.999,,
7848,,HIP 101483,308.4876748,13.02720387,5.38,5.379509,A3IVs,7858,195943,η Delphini,Delphinus,172.9443652,0.093,,
7849,,HIP 101489,308.499683,4.898662483,6.418,6.177644,G8III,,195909,,Delphinus,622.1386245,1.016,,
7850,,HIP 101505,308.5415971,20.98518641,6.47,6.456695,B3IV,7862,196035,,Vulpecula,1475.114673,-0.138,,
7851,,HIP 101507,308.5487353,-13.72109127,6.116,5.994453,F9VFe-0.6CH-0.3,7855,195838,,Capricornus,107.0607211,0.543,,
7852,,HIP 101552,308.6974663,-30.47347074,6.402,6.402053,B8V,7856,195843,,Microscopium,592.7268962,-0.075,,
7853,,HIP 101556,308.7100149,51.85422268,6.18,6.092767,A9II,7876,196379,,Cygnus,7244.439822,0.318,,
7854,,HIP 101558,308.7311499,-38.08989127,6.432,6.39128,A5mA7-A9,7853,195814,,Microscopium,218.206225,0.264,,
7855,,HIP 101570,308.7761305,-71.18877941,6.4,6.004083,K2III,,195190,,Pavo,804.9399352,1.305,,
7856,,HIP 101589,308.8272342,14.67421499,4.647,4.614309,A3Va,7871,196180,ζ Delphini,Delphinus,227.0196346,0.12,,
7857,,HIP 101608,308.8844019,-16.52587563,6.177,6.159684,A5II/III,7865,196078,,Capricornus,234.5323094,0.218,,
7858,,HIP 101612,308.8952086,-60.58174912,4.745,4.668942,F0V,7848,195627,ϕ 1 Pavonis,Pavo,89.88149563,0.291,,
7859,,HIP 101623,308.9492019,-44.3376105,6.37,6.132371,K1III,,195902,,Microscopium,410.580851,0.958,,
7860,,HIP 101626,308.9654995,-69.61058352,6.084,5.693074,K2III,7838,195402,,Pavo,829.517084,1.293,,
7861,,HIP 101641,309.0347449,25.88265707,6.406,6.385137,A5III,7874,196362,26 Vul,Vulpecula,701.0762916,0.158,,
7862,,HIP 101684,309.1598255,-63.12096791,6.34,6.244892,F2V,,195772,,Pavo,191.2023324,0.413,,
7863,,HIP 101692,309.181805,-2.549954643,4.88,4.255721,K4+IIIBa1,7873,196321,70 Aql,Aquila,2202.704558,1.606,,
7864,,HIP 101716,309.2694684,26.46194622,5.583,5.580162,B8V,7880,196504,27 Vul,Vulpecula,305.2436881,-0.05,,
7865,,HIP 101746,309.3265893,0.09695938289,6.211,6.195012,B8IIIpec,7878,196426,145 G. Aql,Aquila,642.9993721,-0.076,,
7866,,HIP 101756,309.3482671,38.32866656,6.202,5.945679,K0III,7888,196642,,Cygnus,328.2984158,1.011,,
7867,,HIP 101765,309.382407,31.57253969,6.304,6.30386,B8IIIn,7885,196606,48 Cyg,Cygnus,783.6553812,-0.089,,
7868,,HIP 101768,309.3862906,31.52191088,6.496,6.428611,F0V,7887,196629,,Cygnus,160.5912414,0.371,,
7869,Rotanev,HIP 101769,309.3872554,14.59508875,3.63,3.999137,F5IV,7882,196524,β Delphini,Delphinus,97.34265544,0.425,,
7870,,HIP 101772,309.3918007,-47.29150145,3.11,2.85215,K0III-IV,7869,196171,α Indi,Indus,101.210977,0.998,,
7871,,HIP 101773,309.3971353,-61.52992114,4.849,4.776536,Fm_dD,7859,195961,ρ Pavonis,Pavo,194.8597277,0.447,4.85,4.905
7872,,HIP 101800,309.4546657,11.37767523,5.418,5.4185,A1IV,7883,196544,ι Delphini,Delphinus,177.1738906,0.05,,
7873,,HIP 101808,309.4676211,-25.10921599,6.377,6.304085,A9V,7877,196385,,Capricornus,164.1492103,0.328,,
7874,,HIP 101810,309.4780321,18.26858187,5.89,3.792551,M6III,7886,196610,EU Del,Delphinus,355.8943269,1.162,5.79,6.9
7875,,HIP 101843,309.5775265,-81.28906281,5.889,5.104788,K5III,7812,194612,,Octans,635.478554,1.692,,
7876,,HIP 101847,309.5845187,-1.10511725,4.33,4.074997,G7.5IIIa,7884,196574,71 Aql,Aquila,383.5293581,0.949,,
7877,,HIP 101867,309.6305785,21.20116256,4.82,4.802192,A0Va(_sh),7891,196724,29 Vul,Vulpecula,213.4906291,-0.03,,
7878,,HIP 101868,309.632977,24.11595912,5.049,5.020863,B5IV,7894,196740,28 Vul,Vulpecula,493.1925362,-0.133,,
7879,,HIP 101870,309.6457963,23.6804964,5.929,5.602673,K1II+B7,7895,196753,,Vulpecula,1975.759573,0.953,,
7880,,HIP 101882,309.6832772,13.31512652,5.71,5.190834,K3Ib,7892,196725,θ Delphini,Delphinus,1304.000471,1.509,,
7881,,HIP 101899,309.7479857,30.33426695,5.673,5.380294,K2III,7904,196852,,Cygnus,386.2547171,1.088,,
7882,,HIP 101900,309.7507555,56.00484843,6.45,6.371233,F2Vn,7916,197101,,Cygnus,424.47823,0.403,,
7883,,HIP 101909,309.7707002,15.83819755,5.98,5.956425,B3V,7899,196775,,Delphinus,1298.804029,-0.145,,
7884,,HIP 101911,309.7744174,-4.929514885,6.45,6.187056,K2III,,196676,1 G. Aqr,Aquarius,234.0273342,1.016,,
7885,,HIP 101919,309.7943701,21.81744234,6.075,6.074164,A0III,7903,196821,,Vulpecula,926.1369932,-0.043,,
7886,,HIP 101921,309.8052116,-2.412974801,6.22,6.207704,B7Ve,7890,196712,2 G. Aqr,Aquarius,1230.187525,-0.09,,
7887,,HIP 101923,309.8180114,-14.95477306,5.38,5.2188,B4V,7889,196662,* 14 Cap A,Capricornus,1752.687476,-0.129,,
7888,,HIP 101936,309.8537196,0.4864319446,5.153,4.865902,K0III,7897,196758,1 Aqr,Aquarius,244.5613756,1.06,,
7889,Sualocin,HIP 101958,309.9094985,15.91216001,3.8,3.735891,B9IV,7906,196867,α Delphini,Delphinus,240.5903671,-0.057,,
